type,b_price,b_amount,type,s_price,s_amount
b,9235.9,0.5,s,9900.4,0.5
b,9235,1,s,9900.9,0.003
b,9233.5,0.02,s,9904,8.996
b,9232.4,0.01,s,9905,0.6
b,9230,5.951,s,9907.1,15.1
b,9229.9,0.01,s,9908.3,0.345
b,9229.4,0.03,s,9917,5
b,9229,0.1,s,9918,0.164
b,9228.9,0.028,s,9920,5
b,9227,0.04,s,9920.1,0.025
b,9226.7,0.05,s,9924,0.113
b,9226.4,0.017,s,9925,0.551
b,9226,0.03,s,9926,0.315
b,9225.2,0.1,s,9926.5,15.01
b,9225,1.575,s,9929.1,0.036
b,9224,0.02,s,9936,2
b,9222.7,0.01,s,9940,3
b,9222.2,0.05,s,9940.8,0.032
b,9222,5.8,s,9943.2,0.016
b,9221.1,4,s,9944,1.8
b,9220,4.702,s,9944.8,0.305
b,9217.4,0.01,s,9946,1
b,9216,1.01,s,9948,3.5
b,9215.9,0.334,s,9948.9,1.25
b,9215.1,0.5,s,9950,6.741
b,9215,5,s,9952.3,6.573
b,9214.5,0.02,s,9955,0.01
b,9212,0.02,s,9960,9.5
b,9211.7,0.829,s,9969,0.4
b,9211.1,0.65,s,9972.7,0.013
b,9211,0.3,s,9975,0.061
b,9210,6.873,s,9978.6,0.003
b,9208,1.41,s,9980,6.54
b,9207.9,0.03,s,9980.3,1
b,9207.8,2,s,9982,0.5
b,9207.3,0.2,s,9983,0.008
b,9206.9,1.6,s,9985,0.03
b,9206.1,0.15,s,9986.9,1.928
b,9206,0.5,s,9987,1
b,9205.9,0.033,s,9988,0.02
b,9205,3.13,s,9989,1.04
b,9202.1,0.21,s,9990,0.06
b,9202,0.005,s,9991.2,0.01
b,9201.6,0.01,s,9992.4,0.025
b,9201.2,0.004,s,9995,0.048
b,9201.1,0.011,s,9996.8,0.004
b,9201,0.123,s,9997,0.09
b,9200.1,0.003,s,9998,3.009
b,9200,25.794,s,9998.5,0.1
b,9199,2,s,9998.9,0.9
b,9197.1,4.049,s,9999,1.317
b,9196.6,0.012,s,10000,8.876
b,9195.5,0.02,s,10000.2,1
b,9194.2,0.5,s,10000.5,0.003
b,9192.6,10,s,10001,0.12
b,9192,0.003,s,10008,1.44
b,9191,0.7,s,10012,1
b,9190.6,5,s,10014,0.05
b,9190,1.094,s,10019,1
b,9189,5,s,10020,0.011
b,9188.9,0.334,s,10025,0.05
b,9188,0.21,s,10030,5
b,9187,5,s,10034.2,4.049
b,9186.1,0.005,s,10044.6,0.01
